,pNCI,sNCI,codedUsefulness
1,24757761,24757766,0.7888529648757338
2,24757761,24757767,4.9855623481842875
3,24757761,24757768,2.996457369164854
7,24757761,24758279,193.16816148320234
8,24757761,24758285,465.19233489408464
10,24757761,24758287,63.72172929662848
11,24757761,24758533,2.907654074790089
12,24757761,24758534,110.94597466677807
13,24757761,24758536,10.032386471473618
14,24757761,24758788,3.2823543413824554
15,24757761,24758789,98.0740518308956
16,24757761,24758790,3.721272938336687
17,24757761,24758791,0.6392034498586865
18,24757761,24758792,16.49308377004637
19,24757761,24758793,0.8383849379967451
20,24757761,24758794,0.5164197278960703
21,24757761,24758795,4.8264409350564055
22,24757761,24758796,1.5219762206212701
23,24757761,24758797,27.698064131565957
24,24757761,24758798,267.1828349250613
25,24757761,24758799,12.073010092698848
26,24757761,24758800,465.19233489408464
27,24757761,24758801,267.1828349250613
32,24757761,24759307,8.493438283593584
38,24757761,24759819,20.676436220121925
39,24757761,24759821,267.1828349250613
41,24757761,24760071,23.390155971452153
42,24757761,24760072,465.19233489408464
43,24757761,24760073,2.940778137878572
44,24757761,24760074,98.0740518308956
45,24757761,24760075,26.46004323687155
48,24757761,24760324,16.49308377004637
49,24757761,24760327,17.82177436032684
122,24757762,24757766,5.941593708643943
123,24757762,24757767,2.4497265587108394
124,24757762,24757768,0.9556991114450075
132,24757762,24758533,1.6955005719807181
133,24757762,24758534,4.71589812891256
134,24757762,24758536,1.1167565434290707
135,24757762,24758788,148.74876637218796
136,24757762,24758789,4.558035365293233
137,24757762,24758790,3.579739343780256
138,24757762,24758791,10.572073343138989
139,24757762,24758792,1.3537468081128434
140,24757762,24758793,0.6359331113383037
141,24757762,24758794,2.84650737434269
142,24757762,24758795,6.693534689977369
143,24757762,24758796,1.0595364028181873
144,24757762,24758797,44.6563642551147
145,24757762,24758798,41.04661701388425
146,24757762,24758799,3.8206889703876725
147,24757762,24758800,0.7079154374586735
148,24757762,24758801,2.9087842141370106
153,24757762,24759307,6.232688204362418
154,24757762,24759308,51.66879800495167
157,24757762,24759813,11.236841802043031
158,24757762,24759816,19.111672329521376
159,24757762,24759819,3.868497731662733
160,24757762,24759821,35.475814255182506
161,24757762,24759822,23.113955900242832
162,24757762,24760071,3.3528103101129356
165,24757762,24760074,95.06549933831522
169,24757762,24760324,66.2197013241743
175,24757762,24758280,124.430074814327
176,24757762,24758282,450.921938876502
177,24757762,24758535,107.54255875406842
